labels,text
grades,Where can i see my grades
grades,Did i pass the exam?
grades,When are the grades coming out.
grades,Did i fail my exam?
grades,Are que grades posted already?
grades,Where are the grades hanged?
grades,Do i nedd to retake my exam??
grades,Do i need to retake the course?
grades,Did many people fail the exam?
courses,What is my calendar for today
courses,Show my courses
courses,Show my weekly calendar
courses,What do we have now?
courses,Where is the course calendar?
courses,Where is my next class?
courses,WHere do i have to go for the class?
courses,Where is my math class?
food,Is there a cafeteria around here
food,Is there a way i can get something to eat
food,I am starving
food,I need food
food,I want to eat
food,What is in the menu
food,Where can i get a snack
food,Where can i get something to drink
food,I am getting hungry
food,i there a vending machine near.
food,where can i get something to drink
food,someplace near to have a drink
food,can I grab something to eat?
food,tell me is there some place to go for a drink
sports,When is the next game
sports,What are the last resultd
sports,Where can i do some sport
sports,what are the next games
sports,Where can i watch the game
address,Where is the building
address,Where is the sport courts
address,Where is the pitch
address,Where is the cafeteria
address, i needd to go to the departments
address, i need to talk to the professor
address, where do oi can get the books
address, where is the aula
address, where is the bus stop
address, where isthe parking
address, the way to the building
address, where can i get the bus
greetings, Hello
greetings, Hi
greetings, How are you doing?
greetings, Howdy
greetings, Nice to talk to you
grades,Where can I see my grades?
grades,Where do I see my grades?
grades,Where am I able to see my grades?
grades,Where can I view my grades?
grades,Where can I find my grades?
grades,Where can I look at my grades?
grades,Where do I find my grades?
grades,I want to see my grades.
grades,I need to see my grades.
grades,Where can I see my grades
grades,Did I pass the exam?
grades,I was wondering if I passed the exam.
grades,I don't know if I passed the exam.
grades,Did I pass the test?
grades,I wonder if I passed the exam.
grades,Did I do well in the exam?
grades,I wondered if I passed the exam.
grades,Did I do well on the exam?
grades,Did I pass?
grades,I wonder if I passed the exam?
grades,The grades are coming out.
grades,When will the grades come out?
grades,The grades come out.
grades,The grades will come out.
grades,The grades are due out.
grades,The grades are out.
grades,The grades will come out soon.
grades,Grades are coming out.
grades,The grades come out when.
grades,The grades will be out.
grades,I wonder if I failed my exam.
grades,I don't know if I failed my exam.
grades,I was wondering if I failed my exam.
grades,Did I fail the exam?
grades,Did I fail my exam?
grades,I wondered if I failed my exam.
grades,I wonder if I failed my exam?
grades,I didn't pass my exam.
grades,Did I fail my test?
grades,Did I not pass my exam?
grades,Is the grades posted already?
grades,Are the grades posted already?
grades,Are the grades already posted?
grades,Is the grades already posted?
grades,Is grades posted already?
grades,Is it possible that grades are posted already?
grades,Are the grades posted yet?
grades,Is it possible that the grades are posted already?
grades,Are grades posted already?
grades,Is it possible that grades are already posted?
grades,Where are the grades?
grades,Where are the grades hanging?
grades,The grades are hanging.
grades,Where are the grades left hanging?
grades,Where are the grades held up?
grades,Where do the grades go?
grades,Where are the grades hung?
grades,Where are the grades left?
grades,Where are the grades taken away?
grades,Where are the grades hanging down?
grades,Do I want to take my exam again?
grades,Do I want to take the exam again?
grades,Do I want to take my exam back?
grades,I want to take my exam again.
grades,Do I want to redo my exam?
grades,Do I need to take my exam again?
grades,Do I have to take my exam again?
grades,Do I need to take my exam back?
grades,Do I want to do my exam again?
grades,Do I have to take my exam back?
grades,Do I need to take the course again?
grades,I don't know if I need to take the course again.
grades,Is it necessary for me to take the course again?
grades,Do I have to take the course again?
grades,I don't know if I need to redo the course.
grades,Is it necessary to take the course again?
grades,I don't know if I need to re-do the course.
grades,I don't know if I need to re-enroll in the course.
grades,Is it necessary for me to re-take the course?
grades,I don't know if I need to re-take the course.
grades,Did a lot of people fail the exam?
grades,Did many people fail the exam?
grades,Did a lot of people fail the test?
grades,Many people failed the exam.
grades,Did lots of people fail the exam?
grades,Did many people fail the test?
grades,Is it possible that many people failed the exam?
grades,Did a lot of people fail the exam.
grades,Did so many people fail the exam?
grades,Did a lot of people fail?
courses,I don't know what my calendar is for today.
courses,What is my schedule today?
courses,What am I supposed to do with my calendar today?
courses,I have a calendar for today.
courses,I don't know what my calendar for today is.
courses,I don't know what my calendar is today.
courses,What is my schedule for today?
courses,What am I supposed to do on my calendar today?
courses,What is my calendar today?
courses,What am I supposed to do today on my calendar?
courses,Show my courses.
courses,My courses should be shown.
courses,Show me my courses.
courses,Show the courses I have.
courses,Show the courses I teach.
courses,Show the courses that I teach.
courses,Show what my courses are.
courses,Show my courses to the public.
courses,Show my courses
courses,Show me the courses.
courses,Show my calendar.
courses,Show me my weekly calendar.
courses,Show my weekly calendar.
courses,Show me the weekly calendar.
courses,Show the weekly calendar.
courses,You can show my weekly calendar.
courses,Show my weekly schedule.
courses,My weekly calendar should be shown.
courses,Show me a weekly calendar.
courses,Show your weekly calendar.
courses,What do we have now?
courses,What are we left with?
courses,What do we have?
courses,What do we have right now?
courses,What have we got?
courses,What else do we have?
courses,What have we got now?
courses,What are we left with now?
courses,What should we have now?
courses,What do we have left?
courses,Where is the course schedule?
courses,Where is the calendar for the course?
courses,There is a course calendar.
courses,Where is the course calendar?
courses,What is the course calendar?
courses,The course calendar is not known.
courses,The course calendar is not available.
courses,The course calendar is not listed.
courses,The course calendar is not located.
courses,Where is the calendar for the courses?
courses,Where is my next class?
courses,Where am I going for my next class?
courses,Where am I going to my next class?
courses,Where is the next class?
courses,Where will my next class be?
courses,Where's my next class?
courses,Where is my class?
courses,Where is my class next?
courses,My next class is not known.
courses,My next class is not yet known.
courses,I don't know if I have to go for the class.
courses,Do I have to attend the class?
courses,Do I have to go to class?
courses,I have to go for the class.
courses,I don't know if I need to go for the class.
courses,Do I need to attend the class?
courses,Do I need to go for the class?
courses,I have to attend the class.
courses,I don't know if I have to attend the class.
courses,Do I need to go to class?
courses,Where is my class?
courses,Where is my math class?
courses,I don't know where my math class is.
courses,Where am I in my math class?
courses,I am wondering where my math class is.
courses,Where is the math class?
courses,Where is my school?
courses,I don't know where my class is.
courses,I don't know where my mathematics class is.
courses,My math class is not listed.
food,There is a cafeteria around here.
food,There is a cafeteria here.
food,Is there a cafeteria near here?
food,Is there a place to eat here?
food,Is there a place to eat around here?
food,There's a cafeteria around here.
food,"Around here, is there a cafeteria?"
food,Is there a cafeteria nearby?
food,There is a cafeteria near here.
food,Is there a cafeteria close by?
food,Is there a way to get something to eat?
food,Is it possible to get something to eat?
food,Is there a way to get food?
food,I would like to get something to eat.
food,I am wondering if there is a way to get something to eat.
food,I want to get something to eat.
food,I am wondering if there is a way I can get something to eat.
food,Is there a way I can get something to eat?
food,Can I get something to eat?
food,Is there a way for me to get something to eat?
food,I am not eating.
food,I am hungry.
food,I'm not eating.
food,I don't have enough to eat.
food,I am not getting enough food.
food,I am low on calories.
food,I'm not getting enough food.
food,I am not getting enough to eat.
food,I'm hungry.
food,I'm starving.
food,I need food.
food,I don't have enough food.
food,I need something to eat.
food,I need some food.
food,I need sustenance.
food,I need food to eat.
food,I need to eat.
food,I don't have food.
food,I need food to survive.
food,I do not have enough food.
food,I want to eat.
food,I would like to eat.
food,I would love to eat.
food,I want to eat some food.
food,I'd like to eat.
food,I want to eat food.
food,I want to consume food.
food,I want to eat something.
food,I wish to eat.
food,I desire to eat.
food,The menu has something in it.
food,What is on the menu?
food,There is a menu.
food,What are the things in the menu?
food,The menu has what in it.
food,There is something in the menu.
food,What are the items in the menu?
food,What is in the menu?
food,What's in the menu?
food,The menu contains what.
food,Where can I get a snack?
food,Where can I find a snack?
food,I need a snack.
food,I need to get a snack.
food,I want to get a snack.
food,Where am I able to get a snack?
food,Where do I get a snack?
food,Where can I buy a snack?
food,I want a snack.
food,Where can I get some food?
food,Where can I get a drink?
food,Where can I get something to drink?
food,I need something to drink.
food,I need to get something to drink.
food,Where am I able to get something to drink?
food,I want to drink something.
food,I want something to drink.
food,Where can I find a drink?
food,Where can I get a beverage?
food,Where am I able to get a drink?
food,I am hungry.
food,I'm getting hungry.
food,I am getting hungry.
food,I am not getting enough to eat.
food,I'm hungry.
food,I don't have enough to eat.
food,I am not getting enough food.
food,I don't have enough food.
food,I am not eating.
food,I am thirsty.
food,I am near a vending machine.
food,There is a vending machine near me.
food,I'm near a vending machine.
food,There is a vending machine.
food,There is a vending machine near.
food,There is a machine near me.
food,I am near a machine.
food,There is a vending machine close to me.
food,A vending machine is near me.
food,There is a vending machine nearby.
food,Where can I get a drink?
food,I need something to drink.
food,Where can I get something to drink?
food,Where can I find something to drink?
food,Where am I able to get something to drink?
food,I need to get something to drink.
food,I want something to drink.
food,Where can I find a drink?
food,I want to drink something.
food,Where can I get a beverage?
food,There is a place to have a drink.
food,There is a place where you can have a drink.
food,There is a place near to have a drink.
food,Someone is near to have a drink.
food,It's near to have a drink.
food,There's a place to have a drink.
food,A place to have a drink.
food,Someone is near to having a drink.
food,There's a place where you can have a drink.
food,There's a place near to have a drink.
food,Is it possible to grab something to eat?
food,Can I grab something to eat?
food,I don't know if I can grab something to eat.
food,Can I get something to eat?
food,I want to grab something to eat.
food,Can I grab some food?
food,Is it possible to grab something to eat.
food,Can I grab a snack?
food,Can I grab a meal?
food,Can I grab something to consume?
food,Is there a place to have a drink?
food,Is there a place where I can have a drink?
food,Is there a place to get a drink?
food,I want to know if there is a place to go for a drink.
food,Is there a place where you can have a drink?
food,Is there a place where I can get a drink?
food,Tell me where to go for a drink.
food,Can you tell me where to go for a drink?
food,I want to know if there is a place to have a drink.
food,Is there a place that you can go for a drink?
sports,When is the next game?
sports,When will the next game be?
sports,The next game is when.
sports,What is the next game?
sports,When the next game will be?
sports,The next game is when?
sports,When the next game is?
sports,When is the next game.
sports,Is the next game coming?
sports,When the next game is.
sports,What are the last results?
sports,What are the final results?
sports,What were the last results?
sports,What are the results?
sports,What happened the last time?
sports,What happened in the last result?
sports,What is the last result?
sports,What are the outcomes?
sports,What are the last results for?
sports,What are the results from that point?
sports,Where can I play a sport?
sports,I don't know where to do a sport.
sports,I want to do a sport.
sports,Where do I go to play a sport?
sports,Where can I play sports?
sports,I don't know where to do some sport.
sports,I need a place to do some sport.
sports,I want to do some sport.
sports,I don't know where I can do a sport.
sports,I need a place to do a sport.
sports,What are the next games?
sports,What are the upcoming games?
sports,What are the games that are coming up?
sports,What are the other games?
sports,What are the games coming up?
sports,The next games?
sports,Who are the next games?
sports,What are the games that are next?
sports,what are the next games?
sports,The next games are not known.
sports,Where can I watch the game?
sports,I can't find a place to watch the game.
sports,Where can I see the game?
sports,I want to watch the game.
sports,Where do I watch the game?
sports,Where can I catch the game?
sports,I can't find a place where I can watch the game.
sports,I need to watch the game.
sports,Where can I view the game?
sports,Where can I watch a game?
address,Where is the building?
address,There is a building.
address,Where is the building located?
address,The location of the building.
address,Where is it?
address,The building's location is not known.
address,The building is located somewhere.
address,The building is not where you think it is.
address,The location of the building is not known.
address,Where is it located?
address,Where are the sport courts?
address,There are sport courts.
address,Where is the courts?
address,The sport courts are where they are.
address,The sport courts are located somewhere.
address,Where is the sport courts?
address,The sport courts are not where they should be.
address,The sport courts are not currently located.
address,The sport courts are in the wrong place.
address,Where are the sport courts.
address,Where is the field?
address,The location of the pitch.
address,There is a pitch.
address,Where is the pitch?
address,The pitch is located.
address,The pitch is not known.
address,Where is the field.
address,The pitch is located somewhere.
address,The pitch is where.
address,Where is it?
address,There is a cafeteria.
address,Where is the cafeteria?
address,The cafeteria is located somewhere.
address,The cafeteria is not currently open.
address,The cafeteria is not located there.
address,Where is the cafeteria located?
address,The cafeteria is where I am.
address,Where is the cafeteria.
address,The cafeteria is not located here.
address,Where is the cafeteria
address,I need to visit the departments.
address,I have to go to the departments.
address,I need to go to the departments.
address,I need to get to the departments.
address,I need to see the departments.
address,I need to check out the departments.
address,The departments are where I need to go.
address,I want to go to the departments.
address,I need to go to some departments.
address,I need to go to the departments
address,I need to speak to the professor.
address,I need to speak with the professor.
address,I need to talk to the professor.
address,I need to talk with the professor.
address,I need to talk to a professor.
address,I have to talk to the professor.
address,I have to speak to the professor.
address,I need to speak to a professor.
address,I need to talk to my professor.
address,I need to speak to the professor
address,Where can I get the books?
address,Where can I find the books?
address,Where do I get the books?
address,Where are you able to get the books?
address,Where can I get books?
address,Where do you get the books?
address,Where do I find the books?
address,Where can oi get the books?
address,Where are the books that oi can get?
address,Where can I find books?
address,Where is the aula?
address,Where's the aula?
address,What is the aula?
address,where is the aula?
address,Where is the aula located?
address,Where is the aula.
address,Where does the aula come from?
address,Where does the aula go?
address,Is the aula there?
address,Where is the Aula?
address,Where is the bus stop?
address,There is a bus stop.
address,Where is the bus stop.
address,Where is the bus stop located?
address,Where is the bus stop
address,Where is the bus going?
address,Where does the bus stop go?
address,What is the bus stop?
address,The bus stop is located.
address,Where the bus stop is?
address,What is the location of the parking?
address,Where is the parking?
address,Where are the parking spots?
address,Where are the parking spaces?
address,Where's the parking?
address,Where are the parking places?
